"","score","text"
"164",0,"RT @KirkDBorne: R Tutorial for Beginners: A Quick Start-Up Kit http://t.co/LHwN4Ud5yw #abdsc #Rstats #DataScience via @DataScienceCtrl"
"165",0,"R Tutorial for Beginners: A Quick Start-Up Kit http://t.co/LHwN4Ud5yw #abdsc #Rstats #DataScience via @DataScienceCtrl"
"166",1,"RT @KirkDBorne: R + Hadoop = RHadoop = Data #Analytics Heaven: http://t.co/vZsORX4JyQ #abdsc #DataScience #BigData #Rstats"
"167",-1,"RT @JBBouzige: Selling #datascience: common language #bigdata #Cloud #IoT http://t.co/st4Ln530Qq http://t.co/1aymUMnmXp"
"168",1,"Important&gt; How a Chief Data Officer #CDO can Make Your Data Great http://t.co/hO1UH8zmww #abdsc #BigData #Analytics #DataScience @KirkDBorne"
"169",1,"RT @MyNarmis: 4 easy steps to becoming a data scientist
http://t.co/Dddc6LXHqL
#data #analyst #datascientist #datascience #security http://…"
"170",-1,"RT @JBBouzige: Selling #datascience: common language #bigdata #Cloud #IoT http://t.co/st4Ln530Qq http://t.co/1aymUMnmXp"
"171",-1,"RT @JBBouzige: Selling #datascience: common language #bigdata #Cloud #IoT http://t.co/st4Ln530Qq http://t.co/1aymUMnmXp"
"172",-1,"RT @JBBouzige: Selling #datascience: common language #bigdata #Cloud #IoT http://t.co/st4Ln530Qq http://t.co/1aymUMnmXp"
"173",1,"RT @KirkDBorne: How a Chief Data Officer #CDO Can Make Your Data Great: http://t.co/9x3oyw5h1v #abdsc #BigData #Analytics #DataScience"
"174",1,"RT @rahulag80: 10 Modern Statistical Concepts Discovered by Data Scientists http://t.co/5gAtHqCLYE #datascience http://t.co/3UlXsTP5Yy"
"175",0,"RT @KirkDBorne: All things #DataViz related to the storytelling phase of #BigData: http://t.co/5MhewvOO8l #abdsc
Visual #Analytics #DataSci…"
"176",-1,"RT @JBBouzige: Selling #datascience: common language #bigdata #Cloud #IoT http://t.co/st4Ln530Qq http://t.co/1aymUMnmXp"
"177",-1,"RT @JBBouzige: Selling #datascience: common language #bigdata #Cloud #IoT http://t.co/st4Ln530Qq http://t.co/1aymUMnmXp"
"178",0,"RT @KirkDBorne: All things #DataViz related to the storytelling phase of #BigData: http://t.co/5MhewvOO8l #abdsc
Visual #Analytics #DataSci…"
"179",0,"RT @KirkDBorne: Predictive #Analytics using Oracle #DataMining book: http://t.co/nFzKI7XHAn #abdsc #BigData #DataScience http://t.co/PbQuoG…"
"180",1,"RT @rahulag80: 10 Modern Statistical Concepts Discovered by Data Scientists http://t.co/5gAtHqCLYE #datascience http://t.co/3UlXsTP5Yy"
"181",0,"RT @KirkDBorne: Predictive #Analytics using Oracle #DataMining book: http://t.co/nFzKI7XHAn #abdsc #BigData #DataScience http://t.co/PbQuoG…"
"182",1,"RT @KirkDBorne: How a Chief Data Officer #CDO Can Make Your Data Great: http://t.co/9x3oyw5h1v #abdsc #BigData #Analytics #DataScience"
