"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"298","RT @byod_news: krawchick: RT ekimetrics: So you want to be #DataScientist? via http://t.co/mMBnkOt2J3  #DataScience #BigData #D… http://t.c…",FALSE,0,NA,2015-03-29 02:47:44,FALSE,NA,"582011229390155776",NA,"<a href=""https://apps.twitter.com/app/new"" rel=""nofollow"">appXesco</a>","aleson_es",5,TRUE,FALSE,NA,NA
"299","RT @byod_news: krawchick: RT ekimetrics: So you want to be #DataScientist? via http://t.co/mMBnkOt2J3  #DataScience #BigData #D… http://t.c…",FALSE,0,NA,2015-03-29 02:47:22,FALSE,NA,"582011135286755328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MindAfterMath",5,TRUE,FALSE,NA,NA
"300","RT @SidneyMinassian: The 7 Problems Data Scientists Don't Want to Solve #BigData #DataScience http://t.co/RM4wO0kQKP http://t.co/D1mOGG81cJ",FALSE,0,NA,2015-03-29 02:44:51,FALSE,NA,"582010502303375360",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MindAfterMath",36,TRUE,FALSE,NA,NA
"301","RT @BigDataBlender: 5 Disruptive #BigData Use Cases in #Healthcare - http://t.co/CU583q2meq via @Flutura #Analytics #DataScience #Hadoop ht…",FALSE,0,NA,2015-03-29 02:43:20,FALSE,NA,"582010118893670400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","apau4",8,TRUE,FALSE,NA,NA
"302","Mapping #Twitter data &amp; creating  maps https://t.co/bUr9iB55qa #DataScience #DataViz #BigData http://t.co/Pti1eEN7bg rt @ozrikem #dataviz",FALSE,5,NA,2015-03-29 02:42:43,FALSE,NA,"582009965101088768",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ephette",1,FALSE,FALSE,"-84.3877277","33.7838514"
"303","RT @BigDataBlender: 5 Disruptive #BigData Use Cases in #Healthcare - http://t.co/CU583q2meq via @Flutura #Analytics #DataScience #Hadoop ht…",FALSE,0,NA,2015-03-29 02:41:08,FALSE,NA,"582009566449274880",NA,"<a href=""https://hijeffho.squarespace.com/"" rel=""nofollow"">Data Trend</a>","Data88Geek",8,TRUE,FALSE,NA,NA
"304","RT @KirkDBorne: #DigitalMarketing is really about Behavioral #Analytics: http://t.co/zKzcZDHWSi #BigData #DataScience by @SYNTASACO's team",FALSE,0,NA,2015-03-29 02:41:02,FALSE,NA,"582009540130050048",NA,"<a href=""https://github.com/Jeff88Ho"" rel=""nofollow"">Financial Information Miner</a>","Jeff88Ho",11,TRUE,FALSE,NA,NA
"305","RT @arcvision_kol: RT arnab_majumdar The National Data Science Bowl Makes Plankton Research Sexy - http://t.co/4Vs6lXjRBU #datascience",FALSE,0,NA,2015-03-29 02:41:02,FALSE,NA,"582009539333136384",NA,"<a href=""https://github.com/Jeff88Ho"" rel=""nofollow"">Financial Information Miner</a>","Jeff88Ho",1,TRUE,FALSE,NA,NA
"306","RT @mjcavaretta: MT @AnalyticsClub: Apple acquires big data analytics firm Acunu - Apple Insider http://t.co/4UG2im7JKu #bigdata #datascien…",FALSE,0,NA,2015-03-29 02:41:01,FALSE,NA,"582009538498420736",NA,"<a href=""https://github.com/Jeff88Ho"" rel=""nofollow"">Financial Information Miner</a>","Jeff88Ho",10,TRUE,FALSE,NA,NA
"307","RT @Niisnen: New breed of scientific researchers must be Pi-shaped: https://t.co/vvotd3LBqO #datascience http://t.co/mC4Uc1SPNN RT @KirkDBo…",FALSE,0,NA,2015-03-29 02:41:01,FALSE,NA,"582009537558941696",NA,"<a href=""https://github.com/Jeff88Ho"" rel=""nofollow"">Financial Information Miner</a>","Jeff88Ho",132,TRUE,FALSE,NA,NA
